src/readline/completion/com_api_move_cursor.c:65  multiple empty lines
src/readline/completion/com_api_move_cursor.c:65  Empty line
src/readline/cursor_manipulation/move_cursor.c:28  line has 88 characters
src/readline/strmove_cursor.c:25  line has 82 characters
src/readline/strmove_cursor.c:47  line has 82 characters
src/readline/clear_all_line.c:18  bad spacing before clear_all_line
src/readline/expand_user_in.c:15  declaration of reset_exit forbidden in .c
src/parser/split_word_into_queue_tokens.c:30  function split_word_into_queue_tokens has 32 lines
src/parser/split_word_into_queue_tokens.c:61  C++ comment
includes/token.h:9  bad spacing
includes/token.h:52  bad spacing
src/readline/other.c:42  line has 82 characters
src/readline/other.c:44  line has 83 characters
src/readline/signal.c:26  comment not well formatted
src/readline/signal.c:32  comment not well formatted
src/readline/signal.c:32  must begin only by tabulations
src/readline/signal.c:34  bad spacing before set_sigint
src/readline/signal.c:43  C++ comment
src/readline/signal.c:44  C++ comment
src/readline/signal.c:53  comment not well formatted
src/readline/signal.c:53  bad indentation
src/readline/signal.c:53  comment not well placed
src/readline/t_str.c:15  declaration of reset_exit forbidden in .c
includes/command_structs.h:16  wrong number of spaces in preprocessor indentation
includes/command_structs.h:57  bad spacing
includes/command_structs.h:58  bad spacing
includes/command_structs.h:65  bad spacing
includes/command_structs.h:66  bad spacing
libft/ft_lstadd.c:42  bad spacing after ft_lstadd_data_back
libft/ft_lstadd.c:46  space after cast
libft/ft_lstadd.c:52  multiple empty lines
libft/ft_lstadd.c:53  bad spacing before ft_lstadd_data
src/readline/reset_readline_position.c:15  declaration of reset_exit forbidden in .c
src/readline/readline_position.c:15  declaration of reset_exit forbidden in .c
src/readline/up_down_arrow.c:15  declaration of reset_exit forbidden in .c
src/readline/up_down_arrow.c:31  comment not well formatted
src/readline/up_down_arrow.c:36  bad spacing before save_user_in_history
src/readline/set_new_user_in.c:3  declaration of reset_exit forbidden in .c
src/readline/set_new_user_in.c:10  bad spacing before set_new_user_in
includes/heredoc.h:17  line has 98 characters
src/readline/delete_symbol.c:13  multiple empty lines
includes/expansions.h:74  multiple empty lines
includes/expansions.h:114  multiple empty lines
includes/parser.h:84  line has 86 characters
includes/parser.h:84  bad spacing
libft/ft_match.c:45  bad spacing before find_range
libft/ft_match.c:94  bad spacing before range_match
libft/ft_match.c:107  bad indentation
libft/ft_match.c:120  bad spacing before ft_match
libft/ft_strjoinfreefree.c:20  must begin only by tabulations
libft/ft_strjoinfreefree.c:20  bad indentation
libft/ft_strjoinfreefree.c:22  must begin only by tabulations
libft/ft_strjoinfreefree.c:22  bad indentation
libft/ft_strjoinfreefree.c:24  bad indentation
libft/ft_strjoinfreefree.c:24  must begin only by tabulations
libft/ft_strjoinfreefree.c:26  bad indentation
libft/ft_strjoinfreefree.c:26  must begin only by tabulations
libft/ft_strjoinfreefree.c:30  must begin only by tabulations
libft/ft_strjoinfreefree.c:30  bad indentation
libft/ft_strjoinfreefree.c:32  must begin only by tabulations
libft/ft_strjoinfreefree.c:32  bad indentation
libft/ft_strjoinfreefree.c:34  no newline after block
src/readline/line_42sh.c:6  Space before function name
includes/readline.h:35  line has 159 characters
includes/readline.h:35  spaces at the end of line
includes/readline.h:36  preprocessor block must be followed by one empty line
includes/readline.h:36  spaces at the end of line
includes/readline.h:37  spaces at the end of line
includes/readline.h:37  bad indentation
includes/readline.h:37  must begin only by tabulations
includes/readline.h:37  bad indentation
includes/readline.h:40  multiple empty lines
includes/readline.h:330  C++ comment
libft/ft_clever_match.c:54  bad spacing before find_range
libft/ft_clever_match.c:103  bad spacing before range_match
libft/ft_clever_match.c:119  bad indentation
libft/ft_clever_match.c:136  bad spacing before ft_clever_match
src/readline/readline.c:16  declaration of reset_exit forbidden in .c
src/readline/readline.c:91  line has 82 characters
